fichier;T1_conduite;T1_probabilite;T1_label;T2_largeur_m;T3_couverture;T3_probabilite;T3_label;T4_parallel;T4_probabilite;T4_label
real_data_no_pipe_00014.npz;0;0.0;Aucune conduite;10.8;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00015.npz;0;0.0;Aucune conduite;24.09;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00016.npz;0;0.0;Aucune conduite;19.18;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00017.npz;1;0.7474;Conduite détectée;28.55;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_no_pipe_00018.npz;0;0.0;Aucune conduite;25.82;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00019.npz;0;0.0;Aucune conduite;14.82;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00020.npz;0;0.0;Aucune conduite;9.0;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00021.npz;0;0.0;Aucune conduite;20.43;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00022.npz;1;0.6218;Conduite détectée;22.95;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_no_pipe_00023.npz;0;0.0;Aucune conduite;103.7;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00024.npz;0;0.0;Aucune conduite;29.72;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00025.npz;1;0.7171;Conduite détectée;32.36;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_no_pipe_00026.npz;0;0.0;Aucune conduite;19.31;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00027.npz;0;0.0;Aucune conduite;24.85;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00028.npz;0;0.0;Aucune conduite;16.3;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00029.npz;0;0.0;Aucune conduite;11.41;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00030.npz;0;0.0;Aucune conduite;21.99;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00031.npz;0;0.0;Aucune conduite;25.8;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00032.npz;0;0.0;Aucune conduite;38.34;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00033.npz;0;0.0;Aucune conduite;60.86;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00034.npz;0;0.0;Aucune conduite;10.29;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00035.npz;0;0.3397;Aucune conduite;21.34;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00036.npz;0;0.0;Aucune conduite;24.76;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00037.npz;0;0.0;Aucune conduite;14.75;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00038.npz;0;0.0;Aucune conduite;26.5;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00039.npz;0;0.0;Aucune conduite;31.65;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00040.npz;0;0.0;Aucune conduite;24.31;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00041.npz;0;0.0;Aucune conduite;12.14;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00042.npz;0;0.0;Aucune conduite;8.86;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00043.npz;0;0.0;Aucune conduite;29.8;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00044.npz;0;0.0;Aucune conduite;12.62;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00045.npz;0;0.0;Aucune conduite;25.27;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00046.npz;0;0.0;Aucune conduite;30.32;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00047.npz;0;0.0;Aucune conduite;13.81;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00048.npz;1;0.7127;Conduite détectée;24.87;1.0;1.0;Couverture suffisante;0.0;0.0;Conduite simple
real_data_no_pipe_00049.npz;0;0.0;Aucune conduite;20.16;;;N/A (aucune conduite);;;N/A (aucune conduite)
real_data_no_pipe_00050.npz;0;0.0;Aucune conduite;24.53;;;N/A (aucune conduite);;;N/A (aucune conduite)
